2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.221173195,-0.249462667,-0.213369873,-0.203474216
-0.197546034,-0.222673781,-0.189094638,-0.180334524
-0.18516371,-0.20857853,-0.177069517,-0.168611843
-0.176745494,-0.19901253,-0.168884517,-0.160656073
-0.170303038,-0.191711237,-0.162625198,-0.154576017
-0.165064555,-0.185771944,-0.157527395,-0.149638203
-0.160627813,-0.180750189,-0.153210427,-0.145458926
-0.156773605,-0.176386993,-0.149458799,-0.141832895
-0.153357539,-0.172524886,-0.146138322,-0.13862571
-0.150287348,-0.169054614,-0.14314799,-0.135741599
-0.147492995,-0.165898401,-0.140429637,-0.13312107
-0.144927468,-0.163001701,-0.137935036,-0.130716086
-0.142555813,-0.160322675,-0.135623945,-0.128492966
-0.140346548,-0.157825854,-0.133475353,-0.126422946
-0.13827701,-0.155494165,-0.131461414,-0.124489008
-0.136330657,-0.153297913,-0.129566887,-0.122669753
-0.134492827,-0.151223178,-0.127778188,-0.120951745
-0.132750517,-0.149257431,-0.126083208,-0.11932303
-0.131092205,-0.147389398,-0.124471156,-0.117777694
-0.129511066,-0.14560893,-0.122932411,-0.116304603
-0.128001661,-0.143906889,-0.121462148,-0.114893683
-0.126550901,-0.142275051,-0.120054709,-0.113546534
-0.12516305,-0.140706015,-0.118700192,-0.112249468
-0.12382395,-0.139201264,-0.117400875,-0.111006312
-0.122534875,-0.137747849,-0.116146173,-0.109805336
-0.121291519,-0.136347129,-0.114935511,-0.108648078
-0.120087601,-0.134990803,-0.113766977,-0.107530936
-0.118921114,-0.133681163,-0.112634073,-0.106448556
-0.117794328,-0.132409105,-0.111534951,-0.105399071
-0.116700069,-0.131176315,-0.110471741,-0.104381692
-0.115636594,-0.129979847,-0.109438542,-0.103395615
-0.114602251,-0.128815163,-0.10843345,-0.102436715
-0.113595477,-0.127680781,-0.107455022,-0.101503541
-0.112614794,-0.126577352,-0.106501886,-0.100594716
-0.111658802,-0.125502427,-0.105572744,-0.099708936
-0.110726177,-0.124453205,-0.104666361,-0.098844967
-0.109815665,-0.123428498,-0.103781568,-0.098001638
-0.108926081,-0.122427175,-0.102917254,-0.097177841
-0.1080563,-0.121448158,-0.102072365,-0.096372527
-0.107205261,-0.120490418,-0.101245902,-0.095584699
-0.106371957,-0.119552976,-0.100436916,-0.094813415
-0.105555437,-0.118634898,-0.099644507,-0.094059137
-0.1047548,-0.117735294,-0.098867822,-0.093321125
-0.103970538,-0.116853315,-0.098106049,-0.092597381
-0.103202691,-0.115988152,-0.097358421,-0.091887124
-0.102448528,-0.115139033,-0.096625439,-0.091189615
-0.101707303,-0.114305224,-0.095907164,-0.090504151
-0.100978314,-0.113486025,-0.095201148,-0.089833222
-0.100262437,-0.112680767,-0.094506752,-0.089174233
-0.099560704,-0.111888813,-0.093823368,-0.08852555
-0.098869445,-0.111111746,-0.093151867,-0.087886597
-0.098188081,-0.110347337,-0.092493075,-0.087259995
-0.097518323,-0.109594654,-0.09184377,-0.086643992
-0.096860619,-0.108853159,-0.091203449,-0.08603625
-0.096211328,-0.108122339,-0.090573611,-0.085437138
-0.095570183,-0.107402863,-0.089954762,-0.08485014
-0.094942298,-0.106695553,-0.089343603,-0.084270104
-0.094321515,-0.105997616,-0.088739719,-0.083696855
-0.093707426,-0.105308619,-0.088148046,-0.083135571
-0.093105881,-0.10462855,-0.087562935,-0.0825801
-0.092510418,-0.103960379,-0.086984003,-0.082031197
