2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.263047197,-0.292942429,-0.25699477,-0.254608871
-0.233638124,-0.260649397,-0.227466753,-0.22702986
-0.219278412,-0.244871249,-0.213093115,-0.21357708
-0.209536979,-0.23418819,-0.203359356,-0.204456771
-0.202086764,-0.226032144,-0.195946435,-0.197480067
-0.196045066,-0.219413241,-0.189923201,-0.191813898
-0.190928815,-0.213819102,-0.184839018,-0.187019134
-0.186489231,-0.208964441,-0.180424999,-0.182852478
-0.182553494,-0.204674146,-0.176527284,-0.179165949
-0.179015984,-0.200814376,-0.173022976,-0.175854072
-0.175805383,-0.197306473,-0.169843087,-0.172838654
-0.172864068,-0.194090292,-0.16692999,-0.170074701
-0.170142919,-0.191115419,-0.164235549,-0.167521581
-0.167601303,-0.188339594,-0.161725837,-0.165133426
-0.165234837,-0.185757835,-0.159387972,-0.162911924
-0.162997755,-0.183314921,-0.157184293,-0.160815252
-0.160896252,-0.181023039,-0.155104741,-0.158830313
-0.158902602,-0.178844655,-0.153142015,-0.156957775
-0.157004492,-0.176769897,-0.151273794,-0.155176684
-0.15519401,-0.174795617,-0.149492254,-0.153476937
-0.153463882,-0.172912188,-0.147790201,-0.151851451
-0.15180743,-0.17110651,-0.146161018,-0.150293746
-0.150218512,-0.169372426,-0.144598618,-0.148797891
-0.148691484,-0.167704262,-0.143097405,-0.14735846
-0.147221159,-0.166096786,-0.141652226,-0.145970487
-0.145802767,-0.164545172,-0.140258346,-0.144629431
-0.144431925,-0.163044972,-0.138911406,-0.143336882
-0.143104602,-0.161592084,-0.137607399,-0.142088484
-0.141817095,-0.160187286,-0.136342639,-0.14087659
-0.140566,-0.158827285,-0.135116135,-0.139697862
-0.139353343,-0.157505096,-0.133932547,-0.138549253
-0.138179241,-0.156217625,-0.132779609,-0.137443345
-0.13703355,-0.154962017,-0.131654572,-0.136362862
-0.135913736,-0.153743206,-0.130559037,-0.135305234
-0.134827476,-0.152557845,-0.129498648,-0.134280013
-0.133769145,-0.151397509,-0.128459544,-0.133279965
-0.132730546,-0.150260212,-0.127441815,-0.132296821
-0.13171946,-0.149160191,-0.126457709,-0.131344642
-0.130733274,-0.148079488,-0.125489409,-0.130410167
-0.129761734,-0.147016552,-0.124542467,-0.129492329
-0.128819101,-0.145987651,-0.123620931,-0.128601798
-0.127892241,-0.144973322,-0.122710679,-0.127720514
-0.126981951,-0.143978326,-0.121828236,-0.126865731
-0.126095631,-0.143008501,-0.120957727,-0.126021557
-0.125217308,-0.142049313,-0.120105742,-0.125196451
-0.124366619,-0.141116481,-0.119271196,-0.124385703
-0.123522816,-0.140195541,-0.118448283,-0.123588873
-0.122700311,-0.139292215,-0.117646229,-0.122808187
-0.121887756,-0.13840612,-0.116851074,-0.122038309
-0.121092176,-0.137531014,-0.116078325,-0.121284613
-0.120307863,-0.136676633,-0.115309687,-0.120540435
-0.119538016,-0.135828527,-0.114563318,-0.119810926
-0.118779187,-0.135002975,-0.113820017,-0.119091265
-0.118033944,-0.134180712,-0.113097347,-0.118383385
-0.117298067,-0.133381336,-0.112378266,-0.117687121
-0.116576356,-0.132583818,-0.111676836,-0.11699854
-0.115861113,-0.131808175,-0.110980916,-0.116324613
-0.115161915,-0.131034358,-0.110298473,-0.11565321
-0.11446518,-0.130280204,-0.109624707,-0.115000614
-0.11378753,-0.129529096,-0.108959192,-0.114348444
-0.113110339,-0.128794365,-0.108306623,-0.113712242
-0.112450337,-0.128065023,-0.107656151,-0.113080426
-0.111793748,-0.127347822,-0.107023872,-0.112456841
-0.111147683,-0.126639348,-0.106391992,-0.111844476
-0.110510826,-0.125937937,-0.105773868,-0.111232486
