2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.362270483,-0.360554648,-0.304507591,-0.344070647
-0.323183984,-0.321710911,-0.271118786,-0.30700989
-0.303929177,-0.302568447,-0.254890301,-0.288517012
-0.290854365,-0.289554063,-0.243936491,-0.275865236
-0.280871092,-0.279616524,-0.235586996,-0.266173484
-0.272759304,-0.271548101,-0.228814267,-0.25826742
-0.265914002,-0.264734603,-0.223099084,-0.251578767
-0.259975364,-0.258825421,-0.218143462,-0.245764016
-0.254728043,-0.253598949,-0.213761278,-0.240609465
-0.250013556,-0.248909279,-0.209823584,-0.235983321
-0.245732233,-0.244654078,-0.20625483,-0.231774074
-0.241802191,-0.240749543,-0.202975106,-0.227913039
-0.238176653,-0.23714386,-0.199947666,-0.224341966
-0.234799049,-0.233786874,-0.197132463,-0.221016725
-0.231639424,-0.23064799,-0.194499306,-0.217902088
-0.228671364,-0.227700277,-0.192028302,-0.214973755
-0.22587157,-0.224920024,-0.189693924,-0.212210181
-0.223219484,-0.222286344,-0.187477629,-0.209592263
-0.220696965,-0.219780844,-0.185381156,-0.207103052
-0.218290207,-0.217394239,-0.183374613,-0.204727505
-0.215997374,-0.215116489,-0.181464785,-0.202456197
-0.21379315,-0.212931426,-0.179633018,-0.200284348
-0.211686454,-0.210837934,-0.177871723,-0.198193159
-0.209653976,-0.208824382,-0.176182561,-0.19618878
-0.207699059,-0.206880612,-0.174556498,-0.194252615
-0.205813885,-0.205011941,-0.172986503,-0.192385475
-0.203989469,-0.203204974,-0.171469021,-0.190582962
-0.202222443,-0.201454987,-0.170000719,-0.188835797
-0.200515554,-0.199758773,-0.168578475,-0.187141077
-0.19885926,-0.198113305,-0.167199364,-0.185502143
-0.197250158,-0.196518419,-0.165860644,-0.183909505
-0.195685668,-0.194968543,-0.164559745,-0.182360455
-0.194163351,-0.193460317,-0.16329426,-0.180852738
-0.192680908,-0.191991429,-0.162061931,-0.179384219
-0.191236165,-0.190559697,-0.160860642,-0.177952877
-0.18982707,-0.189163062,-0.159688412,-0.176556796
-0.188451684,-0.187799579,-0.158543384,-0.175194161
-0.187108177,-0.186467414,-0.157426474,-0.173863255
-0.185794818,-0.185166621,-0.156337459,-0.172562448
-0.184509975,-0.183895687,-0.155271177,-0.171290197
-0.183252103,-0.182651672,-0.154226146,-0.170045039
-0.182019745,-0.181433075,-0.15320098,-0.168825588
-0.180812553,-0.180238479,-0.152200873,-0.16763053
-0.179632209,-0.179066547,-0.151220647,-0.16645862
-0.178473822,-0.17791602,-0.150256849,-0.165308676
-0.177336197,-0.176791592,-0.149309463,-0.164180803
-0.176218205,-0.175687217,-0.148385509,-0.163076255
-0.175118779,-0.174601118,-0.14747501,-0.161990771
-0.174043656,-0.173532268,-0.14657704,-0.160923372
-0.172985533,-0.172484325,-0.145701449,-0.159873129
-0.171943296,-0.171455277,-0.144837173,-0.158840276
-0.170916073,-0.17044087,-0.143984338,-0.157828068
-0.169911032,-0.16944027,-0.143151416,-0.156830677
-0.168919597,-0.168461686,-0.142327166,-0.155847333
-0.167940934,-0.16749548,-0.14151675,-0.154878842
-0.166979357,-0.166540908,-0.140720329,-0.153928726
-0.166033036,-0.165605285,-0.13993068,-0.152990678
-0.165097511,-0.164681729,-0.13915979,-0.152064064
-0.164176734,-0.163767902,-0.138394854,-0.151154458
-0.163270455,-0.162872576,-0.137642997,-0.150256922
-0.162373236,-0.161986737,-0.136901034,-0.149369145
-0.161490788,-0.161111005,-0.136167544,-0.148496283
-0.160620034,-0.160251461,-0.135446926,-0.147634963
-0.159756819,-0.159398956,-0.134731163,-0.146781917
-0.158910405,-0.158559853,-0.134030367,-0.14594372
-0.158071154,-0.157731093,-0.133331903,-0.145114759
-0.157242291,-0.156909804,-0.132649315,-0.144293497
-0.156425596,-0.156103351,-0.131968453,-0.143487287
-0.15561427,-0.15530175,-0.13130185,-0.142687223
-0.15481827,-0.154513811,-0.130637318,-0.141897742
-0.154027388,-0.153732371,-0.129986156,-0.141118402
-0.153247398,-0.152960655,-0.129336768,-0.140344449
-0.152475756,-0.152198151,-0.128700526,-0.139584682
-0.15171129,-0.151442157,-0.12806517,-0.138829298
-0.150957749,-0.150697432,-0.127443347,-0.138084529
-0.15020834,-0.149956679,-0.12682191,-0.137346986
-0.149471827,-0.149228644,-0.126213098,-0.136616478
-0.148737678,-0.148502666,-0.125605582,-0.135895782
-0.148016524,-0.147790294,-0.125008348,-0.135179134
-0.147297832,-0.147079207,-0.12441429,-0.134474344
-0.146590448,-0.146380966,-0.123827745,-0.133771944
-0.145886296,-0.145684059,-0.123246701,-0.13308139
-0.145192276,-0.144999315,-0.122670015,-0.1323935
-0.144501798,-0.144315714,-0.122101559,-0.1317157
-0.14382075,-0.143644065,-0.121533958,-0.131041506
-0.14314313,-0.142972947,-0.120977678,-0.13037611
-0.142474676,-0.142314004,-0.120421707,-0.129714841
-0.141809142,-0.141655495,-0.119873943,-0.129061509
-0.141152916,-0.141007982,-0.119329739,-0.128412433
-0.140498743,-0.140361787,-0.118789301,-0.127770839
-0.139854392,-0.139724906,-0.118256484,-0.127133263
-0.139210894,-0.139090664,-0.117723951,-0.126503088
-0.138578077,-0.138463739,-0.117200967,-0.125876356
-0.137945661,-0.137841101,-0.116679442,-0.125257293
-0.137322996,-0.137223497,-0.116162266,-0.124640783
-0.13670177,-0.136612125,-0.115651398,-0.124032536
-0.13608822,-0.136003245,-0.11514079,-0.123425659
-0.135477867,-0.135402813,-0.114638965,-0.12282794
-0.13487287,-0.134802741,-0.114138663,-0.122230578
-0.13427308,-0.134212289,-0.113641341,-0.121642667
-0.133676106,-0.133622829,-0.113151018,-0.121055542
-0.133086583,-0.133039721,-0.112660936,-0.120475919
-0.132497408,-0.132460568,-0.112177112,-0.119898762
-0.131917589,-0.131884319,-0.111696683,-0.119326936
-0.131338381,-0.131315179,-0.111216486,-0.118759486
-0.130765349,-0.130746363,-0.110745167,-0.11819499
-0.130195831,-0.130185923,-0.110274312,-0.117636994
-0.129629155,-0.129626824,-0.109805741,-0.117079389
-0.129069056,-0.129072098,-0.109343935,-0.1165306
-0.12850927,-0.128522441,-0.108882341,-0.115982113
-0.127957389,-0.127973085,-0.108424759,-0.115439652
-0.127406753,-0.127432557,-0.107971924,-0.114900126
-0.126860199,-0.126892367,-0.107519294,-0.114363526
-0.126318459,-0.126356551,-0.107071876,-0.11383273
-0.125777012,-0.125825268,-0.106627724,-0.113302215
-0.125243796,-0.125294268,-0.10618377,-0.112779336
-0.124710992,-0.124771207,-0.105745747,-0.11225732
-0.124182201,-0.124248856,-0.105310002,-0.111739385
-0.123657803,-0.123729632,-0.104874446,-0.11122565
-0.123133681,-0.123215689,-0.104445098,-0.11071234
-0.122616917,-0.122702011,-0.104017491,-0.110206677
-0.122100964,-0.122194251,-0.103590067,-0.10970127
-0.121587835,-0.121688739,-0.103168722,-0.109199897
-0.121079828,-0.121184055,-0.102748995,-0.108702349
-0.12057208,-0.120686483,-0.102329445,-0.108205049
-0.120069806,-0.120189159,-0.101915476,-0.107714944
-0.119569782,-0.119694788,-0.101503381,-0.107225298
-0.119070452,-0.119205177,-0.101091456,-0.106738601
-0.118577944,-0.118715805,-0.100684279,-0.106256417
-0.118085679,-0.118231113,-0.100279575,-0.105774466
-0.117596153,-0.117749235,-0.099875036,-0.105297982
-0.117111195,-0.117267589,-0.099474106,-0.1048233
-0.116626471,-0.116791977,-0.099076562,-0.104349586
-0.116146168,-0.116317612,-0.098679176,-0.103881993
-0.115668548,-0.115843659,-0.098283988,-0.103414618
-0.115191157,-0.115376376,-0.09789338,-0.102950164
-0.114719527,-0.114909312,-0.097502925,-0.102489695
-0.114249043,-0.114443535,-0.097113006,-0.102029439
-0.113779066,-0.113983353,-0.096729118,-0.101573718
-0.113315306,-0.113523383,-0.096345377,-0.101120191
