2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.237577052,-0.23835426,-0.277516186,-0.278287341
-0.21331021,-0.203151863,-0.256220446,-0.256956925
-0.201455264,-0.188537544,-0.24524971,-0.245981278
-0.193445019,-0.179270679,-0.237595701,-0.238342893
-0.187319744,-0.172404323,-0.231679879,-0.23239369
-0.182321324,-0.166954337,-0.226790395,-0.227521516
-0.178109326,-0.162394666,-0.222636562,-0.223350707
-0.174463452,-0.158478009,-0.21900688,-0.219716202
-0.171219999,-0.155024878,-0.215746989,-0.216471275
-0.168314732,-0.151964605,-0.212836479,-0.213544973
-0.165659539,-0.149176588,-0.210164916,-0.210861974
-0.163225203,-0.146637241,-0.207700065,-0.208389378
-0.160984237,-0.144305749,-0.205413983,-0.206104617
-0.158894261,-0.142139041,-0.203282422,-0.203970166
-0.156934774,-0.140114794,-0.201284317,-0.201967215
-0.155093855,-0.138213499,-0.199401364,-0.200086321
-0.153364333,-0.136419463,-0.197617644,-0.1983062
-0.151722796,-0.13473925,-0.195919312,-0.196612739
-0.150156463,-0.133141263,-0.194295804,-0.194993663
-0.148654237,-0.131613279,-0.192767943,-0.193441715
-0.147233527,-0.130144673,-0.191295783,-0.191977985
-0.145871129,-0.128763359,-0.189870827,-0.190561983
-0.14454857,-0.127428877,-0.188519629,-0.189188465
-0.143293847,-0.12613321,-0.187211518,-0.187891007
-0.142077544,-0.124912337,-0.185938803,-0.186621566
-0.140897323,-0.123715434,-0.184729633,-0.185400325
-0.139770817,-0.122570645,-0.183538317,-0.18422094
-0.13865951,-0.121459309,-0.182403732,-0.183068054
-0.137608503,-0.120382312,-0.181287498,-0.181964681
-0.136562424,-0.119342629,-0.180215006,-0.180875023
-0.135573093,-0.118328412,-0.179161938,-0.179835524
-0.134584739,-0.117348307,-0.178146949,-0.178804411
-0.133649168,-0.116392281,-0.177146759,-0.177818308
-0.132715684,-0.11546129,-0.176185075,-0.17684146
-0.131823152,-0.114559248,-0.175228898,-0.175899723
-0.13094062,-0.113668322,-0.174316671,-0.174973219
-0.130083093,-0.112816405,-0.173405276,-0.174068086
-0.129247915,-0.111965213,-0.172530586,-0.173188331
-0.128418476,-0.111152394,-0.171665039,-0.172313146
-0.127627344,-0.110347704,-0.170817042,-0.171476837
-0.126836838,-0.109557237,-0.169994112,-0.170641226
-0.12606992,-0.108795796,-0.169171859,-0.169830012
-0.125320354,-0.108034934,-0.168384187,-0.169034745
-0.124571349,-0.107300982,-0.167601516,-0.168240222
-0.123856332,-0.106580314,-0.166828,-0.16748251
-0.123145414,-0.105860164,-0.166082182,-0.166725371
-0.122438071,-0.105172581,-0.165336919,-0.165978063
-0.121762666,-0.104489819,-0.164607725,-0.165255859
-0.121087717,-0.103807522,-0.163896749,-0.164534175
-0.120417442,-0.103157519,-0.163186278,-0.16382614
-0.119775586,-0.102510027,-0.162493803,-0.163136978
-0.119134141,-0.101862954,-0.161815256,-0.162448291
-0.11849385,-0.101242936,-0.161137168,-0.161772677
-0.117883267,-0.100628289,-0.160474863,-0.161114289
-0.117273056,-0.100014019,-0.159826523,-0.160456335
-0.116663217,-0.099417442,-0.159178603,-0.159807249
-0.116075228,-0.098833405,-0.158540841,-0.159177544
-0.115494158,-0.09824971,-0.157920659,-0.158548236
-0.114913425,-0.097670954,-0.157300861,-0.157920626
-0.114342181,-0.097115466,-0.156682829,-0.157317673
-0.113788318,-0.096560287,-0.156088913,-0.156715084
-0.113234761,-0.096005415,-0.15549535,-0.156112858
-0.112681511,-0.095465704,-0.154902139,-0.155526654
-0.112147454,-0.094937141,-0.154323548,-0.154949003
-0.111619291,-0.094408858,-0.153754474,-0.154371686
-0.111091406,-0.093880853,-0.153185723,-0.153797393
-0.110564416,-0.09337267,-0.152617727,-0.153243033
-0.110059995,-0.09286922,-0.152071526,-0.152688979
-0.109555828,-0.092366024,-0.151525623,-0.152135233
-0.109051916,-0.09186308,-0.150980018,-0.151591028
-0.108550674,-0.091379924,-0.150440588,-0.151058713
-0.108068698,-0.090899916,-0.149916038,-0.150526683
-0.107586955,-0.090420137,-0.149391763,-0.149994935
-0.107105444,-0.089940589,-0.148867762,-0.149475578
-0.106624656,-0.089476853,-0.148351858,-0.148963851
-0.106163668,-0.089018741,-0.147847528,-0.148452385
-0.105702893,-0.088560839,-0.147343451,-0.147941181
-0.105242331,-0.088103147,-0.146839629,-0.147442164
-0.10478198,-0.087654015,-0.146342919,-0.146949671
-0.104336088,-0.087216371,-0.145857482,-0.146457421
-0.103894934,-0.086778919,-0.14537228,-0.145965413
-0.103453974,-0.086341657,-0.144887314,-0.14548287
-0.103013208,-0.085904587,-0.144406091,-0.145008357
-0.102578102,-0.085484514,-0.143938317,-0.144534069
-0.102155319,-0.085066189,-0.143470761,-0.144060006
-0.101732714,-0.08464804,-0.143003424,-0.143590641
-0.101310288,-0.084230065,-0.142536305,-0.143132943
-0.10088804,-0.083815802,-0.142083277,-0.142675454
-0.100477146,-0.083415381,-0.141632225,-0.142218174
-0.100071738,-0.083015119,-0.141181377,-0.141761103
-0.099666494,-0.082615017,-0.140730732,-0.141317225
-0.099261414,-0.082215076,-0.140286348,-0.140875452
-0.098856499,-0.081820039,-0.139850737,-0.140433874
-0.098464984,-0.081436529,-0.139415317,-0.139992491
-0.098075848,-0.081053167,-0.138980086,-0.139555681
-0.097686864,-0.080669952,-0.138545044,-0.139128616
-0.097298031,-0.080286884,-0.138121019,-0.138701733
-0.096909348,-0.07990663,-0.137700038,-0.138275033
-0.096533043,-0.079538953,-0.137279234,-0.137848515
-0.096159154,-0.079171411,-0.136858607,-0.137430101
-0.095785406,-0.078804005,-0.136438378,-0.137016974
-0.095411797,-0.078436733,-0.136030914,-0.136604018
-0.095038327,-0.078069596,-0.135623616,-0.136191233
-0.094673645,-0.077714608,-0.135216484,-0.135778618
-0.094314052,-0.077361885,-0.134809518,-0.135375355
-0.093954588,-0.077009287,-0.13440384,-0.134975267
-0.093595253,-0.076656812,-0.134009188,-0.13457534
-0.093236048,-0.076304463,-0.133614691,-0.134175573
-0.092879923,-0.075956313,-0.133220351,-0.133775965
-0.09253374,-0.075617479,-0.132826165,-0.133385073
-0.092187676,-0.075278759,-0.132432366,-0.132997186
-0.091841731,-0.074940154,-0.132049702,-0.13260945
-0.091495907,-0.074601663,-0.131667184,-0.132221863
-0.091150201,-0.074263287,-0.131284813,-0.131834427
-0.090812135,-0.073931853,-0.130902587,-0.131453543
-0.090478647,-0.073606146,-0.130520508,-0.131077072
-0.090145269,-0.073280546,-0.130146951,-0.130700743
-0.089812003,-0.072955052,-0.129775643,-0.130324555
-0.089478847,-0.072629663,-0.129404472,-0.129948509
-0.089145803,-0.072304381,-0.129033439,-0.129575638
-0.088822121,-0.071985856,-0.128662544,-0.129209849
-0.088500542,-0.071672456,-0.128295998,-0.128844194
-0.088179067,-0.071359154,-0.127935179,-0.128478672
-0.087857694,-0.07104595,-0.12757449,-0.128113285
-0.087536425,-0.070732843,-0.127213931,-0.12774803
-0.087215259,-0.070419835,-0.126853502,-0.127390964
-0.086902799,-0.070110961,-0.126493203,-0.127035296
-0.086592397,-0.069809101,-0.126141413,-0.126679755
-0.086282092,-0.069507332,-0.125790532,-0.12632434
-0.085971884,-0.069205654,-0.125439773,-0.125969051
-0.085661771,-0.068904067,-0.125089137,-0.125616334
-0.085351755,-0.068602571,-0.124738624,-0.125270009
-0.085047804,-0.068301166,-0.12439042,-0.124923804
-0.084747897,-0.068009535,-0.124048713,-0.124577719
-0.08444808,-0.067718587,-0.123707122,-0.124231754
-0.084148353,-0.067427723,-0.123365648,-0.123885908
-0.083848715,-0.067136944,-0.12302429,-0.123544715
-0.083549168,-0.06684625,-0.122683049,-0.123207241
-0.083251421,-0.06655564,-0.122345557,-0.122869881
-0.08296137,-0.066267896,-0.122012539,-0.122532634
-0.082671403,-0.065987104,-0.121679633,-0.122195502
-0.08238152,-0.06570639,-0.121346837,-0.121858483
-0.082091721,-0.065425755,-0.121014152,-0.121526858
-0.081802006,-0.065145199,-0.120681578,-0.121197654
-0.081512375,-0.064864721,-0.120352949,-0.120868558
-0.081227724,-0.064584322,-0.120028052,-0.12053957
-0.080947011,-0.06430768,-0.119703259,-0.120210691
-0.080666376,-0.064036496,-0.119378572,-0.11988192
-0.08038582,-0.063765385,-0.119053991,-0.119558203
-0.080105343,-0.063494347,-0.118729514,-0.119236722
-0.079824944,-0.063223383,-0.118408187,-0.118915344
-0.079544624,-0.062952492,-0.118090871,-0.118594069
-0.079270372,-0.062681675,-0.117773656,-0.118272898
-0.078998427,-0.06241343,-0.117456542,-0.11795183
-0.078726557,-0.062151263,-0.117139528,-0.117634623
-0.07845476,-0.061889164,-0.116822614,-0.117320349
-0.078183037,-0.061627135,-0.116507278,-0.117006174
-0.077911387,-0.061365173,-0.116197038,-0.116692098
-0.077639812,-0.061103281,-0.115886894,-0.11637812
-0.077373647,-0.060841457,-0.115576847,-0.116064241
-0.077109938,-0.060579701,-0.115266895,-0.11575238
-0.076846299,-0.060325607,-0.11495704,-0.115444827
-0.076582729,-0.06007197,-0.11464728,-0.115137369
-0.076319228,-0.059818396,-0.114342968,-0.114830005
-0.076055797,-0.059564887,-0.114039417,-0.114522735
-0.075792436,-0.059311443,-0.113735959,-0.11421556
-0.075532391,-0.059058062,-0.113432593,-0.11390848
-0.075276418,-0.058804746,-0.113129319,-0.113606795
-0.075020511,-0.058554319,-0.112826136,-0.113305594
-0.074764669,-0.058308626,-0.112525416,-0.113004483
-0.074508893,-0.058062993,-0.112228007,-0.112703463
-0.074253182,-0.05781742,-0.111930686,-0.112402533
-0.073997537,-0.057571908,-0.111633454,-0.112101694
-0.073741957,-0.057326455,-0.11133631,-0.111803209
-0.073493245,-0.057081063,-0.111039254,-0.111507828
-0.073244602,-0.056835732,-0.110742287,-0.111212536
-0.07299602,-0.056594484,-0.110449747,-0.11091733
-0.072747501,-0.056356308,-0.110158136,-0.110622211
-0.072499043,-0.056118188,-0.10986661,-0.11032718
-0.072250646,-0.055880125,-0.109575169,-0.110032236
-0.072002312,-0.055642118,-0.109283813,-0.109741334
-0.071756254,-0.055404168,-0.108992542,-0.109451447
-0.071514434,-0.055166275,-0.108701997,-0.109161643
-0.071272672,-0.054928438,-0.108415689,-0.108871923
-0.071030969,-0.054694199,-0.108129464,-0.108582287
-0.070789324,-0.054463078,-0.10784332,-0.108292735
-0.070547738,-0.054232011,-0.107557259,-0.108003626
-0.07030621,-0.054000997,-0.107271279,-0.107718751
-0.07006474,-0.053770037,-0.10698538,-0.107433957
-0.069826278,-0.053539129,-0.106700971,-0.107149244
-0.069590922,-0.053308275,-0.10641966,-0.106864612
-0.069355622,-0.053077475,-0.106138428,-0.106580062
-0.069120376,-0.052848405,-0.105857276,-0.106295592
