2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.255677531,-0.241922933,-0.209626125,-0.208522547
-0.228126442,-0.215397224,-0.186737448,-0.186199862
-0.214592737,-0.202443826,-0.175528338,-0.175248337
-0.205372262,-0.193653055,-0.167909748,-0.167798534
-0.198305629,-0.18693168,-0.162089068,-0.162096987
-0.192548283,-0.181465039,-0.157350165,-0.157452344
-0.18766888,-0.176845856,-0.153336455,-0.15352336
-0.183418007,-0.172828115,-0.14985313,-0.150104693
-0.179651574,-0.169274225,-0.146767103,-0.147070019
-0.176261934,-0.166076061,-0.143990289,-0.144347614
-0.173175669,-0.163170725,-0.141463318,-0.141868157
-0.170337822,-0.160501464,-0.139145338,-0.139589319
-0.167708231,-0.158032885,-0.137001793,-0.137477745
-0.16525842,-0.155734642,-0.135003454,-0.13551512
-0.162963695,-0.153580713,-0.133130123,-0.133676397
-0.160802641,-0.151556461,-0.131373657,-0.131942584
-0.15875668,-0.149646496,-0.129709311,-0.130307613
-0.156819348,-0.147832498,-0.128133066,-0.128757094
-0.154974074,-0.146109792,-0.126636562,-0.127278298
-0.15321308,-0.144467976,-0.125206422,-0.125869091
-0.151526246,-0.142894654,-0.123837603,-0.124524496
-0.14991272,-0.14138711,-0.122525439,-0.123234261
-0.148358629,-0.13994383,-0.121267989,-0.121994241
-0.146860363,-0.138553901,-0.120058235,-0.1208006
-0.145421114,-0.137213638,-0.118891621,-0.119649791
-0.144029414,-0.135919612,-0.117764878,-0.118538532
-0.142682329,-0.134668627,-0.116674981,-0.117463788
-0.141377107,-0.133457703,-0.115621568,-0.116422753
-0.140111172,-0.132284068,-0.114601492,-0.115412831
-0.138882108,-0.131145136,-0.113611304,-0.11443162
-0.137687649,-0.130038498,-0.11264868,-0.113482219
-0.136525672,-0.128961912,-0.111711471,-0.112558818
-0.135394187,-0.127913286,-0.110797689,-0.111658508
-0.134291327,-0.126893199,-0.109909124,-0.110779461
-0.133215343,-0.12590101,-0.1090456,-0.109920766
-0.132164594,-0.124931829,-0.10820076,-0.10908871
-0.131137542,-0.123984021,-0.107373093,-0.108273511
-0.130132745,-0.123056067,-0.106567618,-0.107473788
-0.129151355,-0.122151545,-0.105780906,-0.106694537
-0.128192327,-0.121267946,-0.105007648,-0.105933091
-0.127252063,-0.12040048,-0.10425206,-0.105183681
-0.126329411,-0.119547967,-0.10351423,-0.104452116
-0.125423292,-0.118718956,-0.10278673,-0.103735807
-0.124537057,-0.117903339,-0.10207693,-0.103028655
-0.123668007,-0.1170997,-0.101380085,-0.102340852
-0.122812795,-0.116316511,-0.100692001,-0.101662336
-0.121970566,-0.115545257,-0.100023232,-0.100995283
-0.121147465,-0.114783959,-0.099360634,-0.100342985
-0.120336807,-0.114042642,-0.098712875,-0.099696013
-0.119536931,-0.113309274,-0.098074561,-0.099067494
-0.118752573,-0.112588722,-0.097445942,-0.098443204
-0.117980888,-0.111881635,-0.096829835,-0.09783297
-0.117218079,-0.11118056,-0.096219569,-0.097229417
-0.116469848,-0.110497746,-0.095623748,-0.096636718
-0.115732234,-0.109819748,-0.095031088,-0.096052106
-0.115001852,-0.109154992,-0.094453778,-0.095476225
-0.11428734,-0.108498309,-0.09387801,-0.094908894
-0.113579494,-0.107850923,-0.093317572,-0.09434915
-0.112881242,-0.107213906,-0.092758017,-0.093797571
-0.112194452,-0.106583241,-0.092212936,-0.093253314
-0.111512603,-0.105964354,-0.091668947,-0.092716074
-0.110844784,-0.105349789,-0.091137825,-0.092186686
-0.110181791,-0.104747606,-0.090608783,-0.091662482
-0.109528654,-0.104148546,-0.090090332,-0.091147371
-0.108883278,-0.103561739,-0.089575648,-0.090635004
-0.108244333,-0.102977617,-0.089068679,-0.090133607
-0.107615411,-0.10240495,-0.088567791,-0.089632461
-0.106990185,-0.101835221,-0.088071211,-0.089143751
-0.106376626,-0.101275549,-0.08758358,-0.088655768
-0.105764934,-0.100719691,-0.087096382,-0.088176274
-0.105165448,-0.100171949,-0.086621496,-0.087700941
-0.104567542,-0.099629463,-0.086146835,-0.087229752
-0.103980483,-0.099092663,-0.085680121,-0.086766577
-0.103395449,-0.098563069,-0.085217703,-0.086303617
-0.102820416,-0.098036293,-0.084758139,-0.085851373
-0.102247397,-0.097519134,-0.084307493,-0.085400092
-0.101684,-0.097002242,-0.083857051,-0.084954114
-0.101122195,-0.096496366,-0.083414999,-0.084514066
-0.100570062,-0.095991455,-0.082975872,-0.084074212
-0.100018719,-0.095493557,-0.082539097,-0.083644428
-0.099477491,-0.095000206,-0.082110857,-0.083215369
-0.098936557,-0.094509573,-0.0816828,-0.082790146
-0.098405238,-0.094027376,-0.081260978,-0.082371473
-0.097874852,-0.093545411,-0.08084339,-0.081952976
-0.097352311,-0.09307192,-0.080425976,-0.081541584
-0.096832141,-0.092600711,-0.080017769,-0.081133074
-0.096317774,-0.092132858,-0.079610424,-0.080724829
-0.095807499,-0.091672031,-0.079205069,-0.08032593
-0.095300741,-0.091211416,-0.078807416,-0.07992719
-0.094800053,-0.090758468,-0.078409922,-0.07953075
-0.094300376,-0.090307869,-0.078016163,-0.079141256
-0.093808978,-0.089859178,-0.077627995,-0.078751915
-0.093317822,-0.08941825,-0.077239977,-0.078366207
-0.092833494,-0.088977516,-0.076856743,-0.077985761
-0.092351332,-0.088541782,-0.076477701,-0.07760546
-0.091872865,-0.088110381,-0.076098803,-0.077229494
-0.091399422,-0.087679166,-0.075725105,-0.076857754
-0.090926395,-0.087255351,-0.075354847,-0.076486152
-0.090461404,-0.086833144,-0.074984725,-0.076119017
-0.089996629,-0.086411761,-0.074619653,-0.075755654
-0.089536632,-0.085998256,-0.07425785,-0.075392424
-0.089080045,-0.085584923,-0.073896177,-0.075033278
-0.088624494,-0.085173892,-0.073538891,-0.07467798
-0.088175847,-0.08476896,-0.073185227,-0.074322809
-0.087727401,-0.084364192,-0.072831689,-0.073970879
-0.087283466,-0.083962668,-0.072481417,-0.073623345
-0.086842715,-0.083566014,-0.072135592,-0.073275932
-0.086402367,-0.083169517,-0.071789887,-0.072930507
-0.085969079,-0.082776713,-0.071445917,-0.072590449
-0.085535979,-0.082388052,-0.071107643,-0.072250507
-0.085105995,-0.081999542,-0.070769482,-0.071910934
-0.084680129,-0.081614731,-0.070431436,-0.071578076
-0.084254445,-0.081233789,-0.070100162,-0.07124533
-0.083834147,-0.080852993,-0.06976927,-0.070912693
-0.083415476,-0.080475497,-0.069438487,-0.070585088
-0.082997595,-0.080102012,-0.06911201,-0.070259272
-0.08258573,-0.079728668,-0.06878812,-0.069933562
-0.082174035,-0.079357859,-0.068464335,-0.069610418
-0.081764804,-0.078991579,-0.068142119,-0.069291278
-0.081359709,-0.078625433,-0.067824976,-0.068972241
-0.080954779,-0.07826073,-0.067507934,-0.068653306
-0.080553628,-0.077901411,-0.067190992,-0.068340362
-0.080155099,-0.077542222,-0.066878849,-0.068027754
-0.079756729,-0.077183161,-0.066568306,-0.067715243
-0.079363126,-0.076830495,-0.066257859,-0.067405598
-0.078970964,-0.076478028,-0.065948813,-0.067099185
-0.078578957,-0.076125684,-0.065644534,-0.066792867
-0.078192401,-0.075777874,-0.065340347,-0.066486642
-0.077806417,-0.075431903,-0.065036252,-0.066185681
-0.077420737,-0.075086052,-0.064735762,-0.06588533
-0.077040603,-0.074742647,-0.06443761,-0.065585069
-0.076660613,-0.074402956,-0.064139546,-0.065286441
-0.076281239,-0.07406338,-0.063841572,-0.064991841
-0.075906924,-0.073723966,-0.063548855,-0.064697329
-0.07553275,-0.073390345,-0.063256606,-0.064402903
-0.075159264,-0.073056835,-0.062964443,-0.064111663
-0.074790597,-0.072723436,-0.062673344,-0.063822691
-0.074422066,-0.072393277,-0.062386701,-0.063533804
-0.074054077,-0.072065632,-0.062100141,-0.063244999
-0.073690891,-0.071738094,-0.061813663,-0.062960475
-0.073327838,-0.071411009,-0.061529147,-0.062676926
-0.072964979,-0.071089034,-0.06124799,-0.062393458
-0.072607114,-0.070767162,-0.060966912,-0.06211007
-0.072249377,-0.070445394,-0.060685913,-0.061831641
-0.071891768,-0.070126344,-0.060407361,-0.061553317
-0.071538605,-0.069809952,-0.06013149,-0.061275071
-0.071186029,-0.06949366,-0.059855695,-0.060997361
-0.070833578,-0.069177468,-0.059579977,-0.060723998
-0.070484739,-0.068865816,-0.059306817,-0.060450709
-0.070137174,-0.068554819,-0.059036042,-0.060177496
-0.069789729,-0.068243919,-0.05876534,-0.059904959
-0.069444919,-0.067934144,-0.058494712,-0.059636451
-0.069102219,-0.067628268,-0.058226418,-0.059368016
-0.068759636,-0.067322486,-0.057960556,-0.059099652
-0.06841858,-0.067016797,-0.057694764,-0.0588318
