2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.249531088,-0.239105096,-0.191654042,-0.246372469
-0.217796372,-0.21266018,-0.170143691,-0.215187147
-0.202073736,-0.199719418,-0.1596071,-0.199687749
-0.191347949,-0.190934156,-0.152441839,-0.189094704
-0.183134214,-0.184208098,-0.146963729,-0.18096911
-0.176454479,-0.178740114,-0.14250424,-0.174358143
-0.170803788,-0.174109352,-0.138740934,-0.168756996
-0.165897805,-0.170083774,-0.135458562,-0.163899418
-0.161559612,-0.16651676,-0.132553587,-0.159596465
-0.157665475,-0.16331202,-0.129945406,-0.155727286
-0.154128746,-0.160391998,-0.127569351,-0.152225228
-0.15088464,-0.157716545,-0.125384611,-0.149009628
-0.147894415,-0.155240656,-0.123368501,-0.146039769
-0.145114339,-0.152926265,-0.121490588,-0.143280542
-0.142521101,-0.150769149,-0.119727096,-0.140701464
-0.140085012,-0.14873491,-0.118066515,-0.138276044
-0.137782548,-0.146808062,-0.11650479,-0.135998151
-0.135613254,-0.144986856,-0.115023065,-0.133837029
-0.133545209,-0.143256152,-0.113612596,-0.131790709
-0.131587165,-0.141603713,-0.112266199,-0.129835763
-0.129713149,-0.140022754,-0.110977379,-0.127979449
-0.127917562,-0.138507069,-0.109747802,-0.126201422
-0.126204043,-0.137050978,-0.108566899,-0.124495139
-0.124557522,-0.135649286,-0.107429208,-0.1228558
-0.122972647,-0.134297242,-0.106330156,-0.121279517
-0.121445287,-0.132990499,-0.105265622,-0.119764364
-0.119971571,-0.131731087,-0.104243488,-0.118301799
-0.118547873,-0.130513581,-0.103254239,-0.116888266
-0.117170794,-0.129331409,-0.102290002,-0.11552043
-0.115837149,-0.128181381,-0.101355253,-0.114195167
-0.114543956,-0.127060584,-0.100452833,-0.112910683
-0.113288416,-0.125980374,-0.099567864,-0.11166671
-0.11206791,-0.124925322,-0.098711019,-0.110458046
-0.110879983,-0.123892554,-0.097876773,-0.109282186
-0.109726211,-0.122889823,-0.097056036,-0.108136784
-0.108604878,-0.121912702,-0.096266752,-0.107019643
-0.107510307,-0.120952178,-0.095485566,-0.10592934
-0.106440541,-0.120019595,-0.09473061,-0.104872675
-0.105393745,-0.119106187,-0.093986217,-0.103839013
-0.104378324,-0.118206588,-0.093261798,-0.102826603
-0.103383923,-0.117335774,-0.092549877,-0.101836327
-0.10240803,-0.116474238,-0.09185435,-0.100874078
-0.101454654,-0.115635207,-0.091171008,-0.099928797
-0.100524661,-0.114809725,-0.090502832,-0.098999354
-0.09960932,-0.113999205,-0.089844567,-0.098097956
-0.098713385,-0.113206251,-0.089202296,-0.097209826
-0.097838212,-0.112422898,-0.088565958,-0.096336712
-0.096974368,-0.11165925,-0.087948232,-0.095486924
-0.096131657,-0.110901794,-0.087330993,-0.094647218
-0.095302927,-0.110164513,-0.086736538,-0.093826305
-0.09448569,-0.109431754,-0.086142435,-0.093020056
-0.093689313,-0.108718156,-0.085563475,-0.09222412
-0.092899714,-0.108008959,-0.084991417,-0.091448653
-0.09212998,-0.107316596,-0.084425642,-0.090678901
-0.091368589,-0.106629885,-0.083874501,-0.089929562
-0.090621592,-0.105956528,-0.083323664,-0.089186589
-0.089886119,-0.105291286,-0.082788661,-0.088459544
-0.089161011,-0.104634903,-0.082257658,-0.08774113
-0.088449317,-0.103990166,-0.081731142,-0.087035549
-0.087745285,-0.10334891,-0.081218975,-0.086339624
-0.087055373,-0.102723764,-0.080707071,-0.085654709
-0.08637164,-0.102099008,-0.080205173,-0.08497934
-0.085701645,-0.101489533,-0.079711147,-0.084314329
-0.085037465,-0.100883477,-0.079217364,-0.08365771
-0.084385647,-0.100285128,-0.078737,-0.083011871
-0.083740305,-0.099696951,-0.078260193,-0.082372322
-0.083105042,-0.09910912,-0.077783614,-0.081744954
-0.082477854,-0.098537308,-0.077322006,-0.081120905
-0.081857635,-0.097966556,-0.076861552,-0.080511335
-0.081247942,-0.097402596,-0.076401309,-0.079902136
-0.080641361,-0.096848183,-0.075955959,-0.079308909
-0.080048532,-0.096294076,-0.075511041,-0.078716841
-0.079456055,-0.09575224,-0.075066321,-0.078135698
-0.07887771,-0.095213753,-0.074634985,-0.077560143
-0.078301472,-0.09467711,-0.074204834,-0.076989846
-0.077733678,-0.094153574,-0.073774868,-0.07643021
-0.077173098,-0.093630312,-0.073355534,-0.075870886
-0.076614748,-0.093112084,-0.072939423,-0.07532532
-0.076069269,-0.092603123,-0.072523485,-0.074781326
-0.075524087,-0.092094421,-0.072114353,-0.07424386
