2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.193301499,-0.192976431,-0.18934398,-0.173203531
-0.173777241,-0.173667112,-0.169131041,-0.155005603
-0.164076445,-0.164100506,-0.159045705,-0.145893433
-0.157427257,-0.157546429,-0.152110346,-0.139638
-0.152303993,-0.152515568,-0.146763186,-0.134803162
-0.148119975,-0.148401365,-0.142386037,-0.130844485
-0.144568585,-0.144905293,-0.138660729,-0.127482317
-0.141459626,-0.141860517,-0.135410466,-0.124538997
-0.138700303,-0.139152367,-0.132517364,-0.121925051
-0.136216494,-0.136707817,-0.129911867,-0.119569301
-0.133948987,-0.134481248,-0.127537404,-0.117415082
-0.13185161,-0.13243501,-0.125347932,-0.115434073
-0.129920942,-0.130534882,-0.123317666,-0.113594227
-0.128110113,-0.128756121,-0.121425099,-0.111883425
-0.126406981,-0.127098724,-0.119651228,-0.110273688
-0.124811421,-0.125533321,-0.117974686,-0.108754941
-0.123298721,-0.124050644,-0.116389735,-0.107318105
-0.121860818,-0.122642351,-0.114890329,-0.10595499
-0.12049043,-0.121300928,-0.113461061,-0.104658209
-0.119180979,-0.120019608,-0.112095662,-0.103421092
-0.11792652,-0.118792299,-0.110788414,-0.102237621
-0.116721684,-0.117613512,-0.109534102,-0.101102357
-0.115561618,-0.116478306,-0.108327966,-0.10001039
-0.114445471,-0.11538671,-0.107165661,-0.098957284
-0.113372596,-0.114337839,-0.106045097,-0.097939028
-0.112333573,-0.113321426,-0.10496745,-0.096956269
-0.111324987,-0.112334042,-0.1039238,-0.096011534
-0.110343762,-0.111377133,-0.102910971,-0.095092474
-0.10940093,-0.110455329,-0.101926064,-0.094196276
-0.108481672,-0.109554535,-0.100972644,-0.093334444
-0.10758252,-0.108675477,-0.100049523,-0.092494384
-0.106713232,-0.107828702,-0.099147505,-0.091670485
-0.105865548,-0.106996598,-0.098266122,-0.090879039
-0.105032188,-0.106186987,-0.097416136,-0.090101487
-0.104228792,-0.105399409,-0.09658167,-0.089342755
-0.103438217,-0.104622006,-0.09576546,-0.088606458
-0.102665491,-0.103874003,-0.094974802,-0.087878701
-0.101913151,-0.103132845,-0.094195103,-0.087179052
-0.101169479,-0.10241416,-0.093437977,-0.086484507
-0.100451262,-0.101705616,-0.092695144,-0.085813475
-0.099737815,-0.101014215,-0.091965756,-0.085149033
-0.099047314,-0.100334583,-0.091256095,-0.084504432
-0.098362219,-0.099669015,-0.090553131,-0.083866598
-0.09769653,-0.099014962,-0.089873266,-0.083247084
-0.097036676,-0.098373865,-0.089196524,-0.082632694
