2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.18255572,-0.184618747,-0.137102901,-0.161963639
-0.1643995,-0.162717669,-0.121963065,-0.140876463
-0.155430661,-0.151807999,-0.114631315,-0.130964401
-0.149311219,-0.144339402,-0.109670568,-0.124378919
-0.144600065,-0.138624121,-0.10588747,-0.119418941
-0.140764174,-0.133956188,-0.102816592,-0.115432914
-0.137513447,-0.130011516,-0.100213813,-0.11208333
-0.134676269,-0.126593445,-0.097956342,-0.109209674
-0.132156878,-0.123556474,-0.095950847,-0.106675432
-0.12988433,-0.120835581,-0.094156325,-0.104406299
-0.127814698,-0.118363435,-0.092512815,-0.102361106
-0.125914089,-0.116103757,-0.091016248,-0.100488165
-0.124151713,-0.114013447,-0.089630025,-0.098766089
-0.122502167,-0.112066069,-0.088337564,-0.097162164
-0.120961004,-0.110253039,-0.087126819,-0.095668667
-0.119510951,-0.108548565,-0.085987195,-0.094272906
-0.118137829,-0.106937378,-0.084909371,-0.092956864
-0.116833643,-0.105416979,-0.083885157,-0.091711929
-0.115591211,-0.103976539,-0.082919599,-0.090530331
-0.114404078,-0.102604255,-0.081998379,-0.089405067
-0.113266447,-0.10129421,-0.081113232,-0.088332037
-0.112176139,-0.100040956,-0.080258938,-0.087312094
-0.111132773,-0.098839475,-0.079452026,-0.086333154
-0.110126077,-0.097685146,-0.078669397,-0.085390329
-0.10915205,-0.096573716,-0.077908435,-0.084479236
-0.10820711,-0.095504632,-0.077187159,-0.083608953
-0.107300623,-0.094476861,-0.076478959,-0.082768773
-0.106420812,-0.093482317,-0.075799912,-0.081950338
-0.10556178,-0.092517799,-0.075138791,-0.081164351
-0.104732254,-0.091580367,-0.074496726,-0.080402811
-0.103926456,-0.090678344,-0.073875525,-0.079655511
-0.103134913,-0.089801964,-0.073267895,-0.078943722
-0.102373774,-0.088945763,-0.072680344,-0.078241543
-0.101625753,-0.088116033,-0.072104804,-0.077564334
-0.100896206,-0.087311074,-0.07154542,-0.076901735
-0.10018667,-0.086520566,-0.070999806,-0.076256732
-0.099486925,-0.085756359,-0.070463803,-0.075628441
-0.098811351,-0.085008731,-0.069946116,-0.075013749
-0.098139738,-0.084275238,-0.069429323,-0.074415051
-0.097494071,-0.083566069,-0.068937716,-0.073828897
-0.096849954,-0.082863921,-0.06844635,-0.073255578
-0.096229632,-0.082187043,-0.067969273,-0.072696306
-0.09560987,-0.081516861,-0.067502254,-0.072144606
-0.095013315,-0.080866531,-0.067036061,-0.071610667
-0.094417114,-0.080224833,-0.06659181,-0.071077239
-0.093840839,-0.079599795,-0.066147755,-0.070567182
-0.093267093,-0.078983392,-0.065710953,-0.070057386
-0.092708318,-0.078382455,-0.065288183,-0.069561518
-0.092155825,-0.077788425,-0.064865591,-0.069074223
-0.091612227,-0.077210459,-0.064453253,-0.068589764
-0.091079858,-0.076636131,-0.064050572,-0.068123699
-0.090549367,-0.076080066,-0.063648054,-0.067657851
-0.090036062,-0.075524311,-0.063255871,-0.067202371
-0.089523021,-0.074987818,-0.062871992,-0.066756543
-0.089021602,-0.074452925,-0.06248826,-0.066310914
-0.08852661,-0.073930522,-0.062112474,-0.065880212
-0.088033907,-0.073415529,-0.061746201,-0.06545347
-0.08755603,-0.072905232,-0.061380062,-0.06502691
-0.087078382,-0.072409225,-0.061017402,-0.06461724
-0.08660901,-0.071913463,-0.060667627,-0.064208506
-0.086147582,-0.071431342,-0.060317975,-0.063799939
-0.085686368,-0.070953679,-0.059968444,-0.063407961
-0.08523746,-0.07047942,-0.059631295,-0.063016226
-0.084791625,-0.070019031,-0.059297101,-0.062624643
-0.084346206,-0.069558855,-0.058963018,-0.06224739
-0.083914974,-0.069107297,-0.058632768,-0.061871706
-0.083483927,-0.068663596,-0.058313075,-0.061496162
-0.083054828,-0.068220091,-0.057993485,-0.061131
-0.082637638,-0.067788462,-0.057673997,-0.060770479
-0.082220623,-0.067360675,-0.057362007,-0.060410087
-0.081805736,-0.06693307,-0.057056021,-0.060054686
-0.081401876,-0.066518838,-0.056750128,-0.059708495
-0.08099818,-0.06610623,-0.056444329,-0.059362423
-0.08059562,-0.065693792,-0.056147223,-0.059016471
-0.080204418,-0.065294647,-0.0558541,-0.058682084
-0.07981337,-0.064896521,-0.055561062,-0.05834955
-0.079422474,-0.064498554,-0.055268111,-0.058017126
-0.079042278,-0.064112392,-0.054982942,-0.057687925
-0.078663244,-0.063728086,-0.054701897,-0.057368193
-0.078284354,-0.063343927,-0.054420931,-0.057048563
-0.077912724,-0.062968837,-0.054140044,-0.056729035
-0.07754511,-0.062597721,-0.053864252,-0.05641539
-0.07717763,-0.062226743,-0.053594554,-0.056107864
-0.076813264,-0.061860989,-0.053324929,-0.055800433
-0.076456505,-0.061502465,-0.053055377,-0.055493096
-0.076099874,-0.061144069,-0.052786745,-0.055192396
-0.07574337,-0.060786082,-0.052527713,-0.054896412
-0.075395184,-0.06043958,-0.052268749,-0.054600515
-0.07504887,-0.060093197,-0.052009851,-0.054304706
-0.074702675,-0.059746935,-0.051751021,-0.054014635
-0.074359095,-0.059406538,-0.051497466,-0.053729569
