2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.166809641,-0.228397472,-0.221192654,-0.168220882
-0.148453773,-0.204761236,-0.197382415,-0.150456864
-0.139447617,-0.193076049,-0.185435651,-0.141718432
-0.133330007,-0.185084948,-0.177195839,-0.135770195
-0.128647319,-0.178944613,-0.170822072,-0.131212242
-0.124829889,-0.173925347,-0.165590564,-0.127495102
-0.121606256,-0.169665199,-0.161125366,-0.12434952
-0.118801233,-0.165950935,-0.15722433,-0.121604455
-0.116317545,-0.162646694,-0.153744058,-0.119180085
-0.114082164,-0.159674688,-0.150595492,-0.116993968
-0.112046742,-0.156958956,-0.14772166,-0.115003358
-0.110177341,-0.154460484,-0.145066051,-0.113180025
-0.108453273,-0.15214606,-0.142602052,-0.111483318
-0.106840513,-0.149987398,-0.140298593,-0.109910469
-0.105335094,-0.147960416,-0.138132825,-0.108429695
-0.103919179,-0.146045709,-0.136092326,-0.107038155
-0.102578754,-0.144242166,-0.134157404,-0.105726273
-0.101306936,-0.14252118,-0.132313761,-0.104480113
-0.10009745,-0.140888882,-0.130560589,-0.103293635
-0.098944569,-0.139326384,-0.128879808,-0.10216134
-0.097843074,-0.137826997,-0.127272966,-0.101078217
-0.096788203,-0.136391982,-0.125724698,-0.100039702
-0.095775612,-0.13501235,-0.124238488,-0.099041639
-0.094801343,-0.133681911,-0.122805249,-0.098080242
-0.093861786,-0.13239729,-0.121419237,-0.097152065
-0.09295365,-0.131155348,-0.120077656,-0.096256768
-0.09207394,-0.129953165,-0.118780351,-0.095394822
-0.091221626,-0.128788026,-0.117523466,-0.094558242
-0.090401601,-0.127657405,-0.116302669,-0.09374454
-0.089603072,-0.126558954,-0.115115877,-0.092952833
-0.088823876,-0.125490488,-0.113961133,-0.092190583
-0.088069054,-0.124449973,-0.112836596,-0.091445353
-0.087336316,-0.12343552,-0.111740539,-0.090715375
-0.086617729,-0.122445369,-0.110671337,-0.090012084
-0.085920135,-0.121479705,-0.109627463,-0.089322153
-0.085240427,-0.12053909,-0.108607479,-0.088645717
-0.084570671,-0.119618571,-0.107610033,-0.087991755
-0.083924737,-0.118716783,-0.106634175,-0.087346242
-0.083287497,-0.117832454,-0.105681614,-0.0867191
-0.082665694,-0.116968899,-0.104748347,-0.086103649
-0.082057601,-0.116123759,-0.103833279,-0.085499524
-0.081458735,-0.115292935,-0.102935376,-0.084910997
-0.08087672,-0.114475447,-0.102053667,-0.084328747
-0.080299663,-0.113678678,-0.101189236,-0.08376429
-0.079740934,-0.112893998,-0.100342828,-0.083202836
-0.079184624,-0.112120147,-0.099510207,-0.082659855
-0.078646641,-0.111363949,-0.098690582,-0.082118181
-0.078110074,-0.110619048,-0.097885025,-0.081594319
-0.077590526,-0.109882847,-0.097095843,-0.081071467
-0.077072756,-0.109164205,-0.096317657,-0.080564586
-0.076569545,-0.10845358,-0.095549824,-0.080059649
-0.076069676,-0.107752915,-0.094797771,-0.07956781
-0.075580898,-0.107066012,-0.094056258,-0.079079934
-0.075098084,-0.106384907,-0.093323431,-0.07860138
-0.074622012,-0.105717738,-0.092604545,-0.078129755
-0.074155454,-0.105057625,-0.091895469,-0.077662898
-0.073690525,-0.104406502,-0.091193615,-0.077206759
-0.073239463,-0.10376586,-0.090505918,-0.076750828
-0.072788605,-0.103130188,-0.089825513,-0.076308785
-0.072347982,-0.102507602,-0.089152943,-0.075867603
-0.07191189,-0.101887783,-0.088492705,-0.075433852
-0.071479053,-0.101280964,-0.087837614,-0.075006736
-0.071057049,-0.10067716,-0.087193526,-0.074580145
-0.070635224,-0.100084176,-0.08655666,-0.074166445
-0.070222324,-0.099495224,-0.085926394,-0.073752916
-0.069813932,-0.098915577,-0.08530666,-0.073345099
-0.069406102,-0.098340396,-0.084690369,-0.072944362
-0.069010534,-0.097773608,-0.084086176,-0.072543786
-0.068615123,-0.097211191,-0.083485373,-0.07215268
-0.068223585,-0.096656806,-0.082893842,-0.071764305
-0.067840411,-0.096106218,-0.082307592,-0.071376534
-0.067457383,-0.095563796,-0.081728358,-0.070999807
-0.067080276,-0.095024167,-0.081155778,-0.070623223
-0.066708929,-0.09449329,-0.080588491,-0.070249102
-0.066337719,-0.093963811,-0.080028746,-0.069883635
-0.065973351,-0.093444076,-0.079473069,-0.069518302
-0.065613294,-0.092924611,-0.078925368,-0.069156256
-0.065253367,-0.092415017,-0.078380977,-0.068801536
-0.064900201,-0.091906297,-0.077844573,-0.068446943
-0.064550925,-0.091405045,-0.077311153,-0.068095543
-0.064201772,-0.0909067,-0.076785338,-0.067751085
-0.063858414,-0.090413159,-0.076262588,-0.067406746
-0.063519437,-0.089924834,-0.075746693,-0.067064697
-0.063180576,-0.089438416,-0.075234322,-0.06673004
-0.062845762,-0.088959772,-0.074727713,-0.066395495
-0.062516627,-0.088481356,-0.074225439,-0.066061626
-0.062187599,-0.088010642,-0.073727516,-0.065736332
-0.061860188,-0.08754157,-0.073235068,-0.065411145
-0.061540458,-0.087076628,-0.072745264,-0.065086063
-0.061220829,-0.086616587,-0.072262379,-0.064768052
-0.060901303,-0.086156963,-0.071780155,-0.064451807
-0.060589051,-0.08570565,-0.07130658,-0.064135661
-0.060278408,-0.085254541,-0.07083323,-0.063823436
-0.059967862,-0.084808053,-0.070366918,-0.063515738
-0.059660672,-0.084365375,-0.069902624,-0.063208135
-0.059358623,-0.083923131,-0.069442673,-0.062900856
-0.059056664,-0.083488605,-0.068987199,-0.062601331
-0.058754797,-0.083054268,-0.06853316,-0.062301896
-0.058459889,-0.082623619,-0.068086277,-0.06200255
-0.058166145,-0.08219716,-0.067639594,-0.061707103
-0.057872488,-0.081770883,-0.067199211,-0.061415479
-0.05758075,-0.081351004,-0.06676089,-0.06112394
-0.057294865,-0.080932341,-0.066325385,-0.060832485
-0.057009062,-0.08051527,-0.065895211,-0.060547535
-0.05672334,-0.080103974,-0.065465223,-0.060263464
-0.056441494,-0.079692848,-0.065041976,-0.059979473
-0.056163208,-0.079285296,-0.064619922,-0.05969682
-0.055884999,-0.078881293,-0.06420063,-0.059419894
-0.055606867,-0.078477453,-0.063786309,-0.059143043
-0.055333718,-0.078078741,-0.063372159,-0.05886627
-0.0550627,-0.077681791,-0.06296386,-0.0585921
-0.054791755,-0.077284997,-0.062557243,-0.058322083
-0.054520884,-0.076894493,-0.062152076,-0.05805214
-0.054255348,-0.076504363,-0.061752803,-0.057782269
-0.053991284,-0.076115175,-0.061353689,-0.057515568
-0.05372729,-0.075731497,-0.060958369,-0.057252161
-0.053463365,-0.075347965,-0.060566411,-0.056988824
-0.05320446,-0.074966049,-0.060174606,-0.056725556
-0.052947051,-0.07458876,-0.059788512,-0.056465406
-0.052689708,-0.074211613,-0.059403681,-0.056208324
-0.052432432,-0.073836448,-0.05901957,-0.055951307
-0.052179269,-0.073465342,-0.05864154,-0.055694357
-0.05192823,-0.073094374,-0.058263652,-0.055439928
-0.051677253,-0.072725476,-0.057887785,-0.055188898
-0.05142634,-0.072360355,-0.057516527,-0.054937931
-0.051178119,-0.071995367,-0.057145407,-0.054687026
-0.050933178,-0.071632285,-0.056777247,-0.054437571
-0.050688297,-0.071272958,-0.056412589,-0.054192332
-0.050443476,-0.07091376,-0.056048064,-0.053947154
-0.050199474,-0.070556076,-0.055687101,-0.053702036
-0.049960373,-0.070202358,-0.055328877,-0.053456978
-0.049721328,-0.069848765,-0.054970781,-0.053217188
-0.049482341,-0.069496089,-0.054616531,-0.052977551
-0.04924341,-0.069147803,-0.054264579,-0.052737972
-0.049008402,-0.068799639,-0.05391275,-0.052498451
-0.048774947,-0.068451608,-0.053564753,-0.05226213
-0.048541546,-0.068108584,-0.053218916,-0.052027799
-0.048308199,-0.067765677,-0.052873199,-0.051793523
-0.048075957,-0.067422888,-0.052531019,-0.051559301
-0.047847855,-0.067084029,-0.052191144,-0.051325922
-0.047619805,-0.066746215,-0.051851385,-0.05109667
-0.047391807,-0.066408515,-0.051514608,-0.050867471
-0.047163861,-0.066073501,-0.051180548,-0.050638325
-0.046938852,-0.065740622,-0.0508466,-0.050409231
-0.046715927,-0.065407852,-0.050514832,-0.050183029
-0.046493053,-0.065076401,-0.050186443,-0.049958692
-0.046270228,-0.064748302,-0.049858161,-0.049734405
-0.046047453,-0.064420311,-0.049531032,-0.049510168
-0.04582881,-0.064092427,-0.049208172,-0.049285981
-0.045610843,-0.063768694,-0.048885417,-0.04906614
-0.045392925,-0.063445332,-0.048562766,-0.048846506
-0.045175053,-0.063122074,-0.048245108,-0.048626921
-0.04495743,-0.062801263,-0.047927743,-0.048407384
-0.044744167,-0.062482388,-0.047610479,-0.04818885
-0.044530949,-0.062163615,-0.047296646,-0.047973673
-0.044317776,-0.061845505,-0.04698454,-0.047758543
-0.044104649,-0.06153098,-0.046672531,-0.047543459
-0.043892089,-0.061216553,-0.046362211,-0.047328421
-0.043683375,-0.060902226,-0.046055234,-0.047115019
-0.043474704,-0.060590635,-0.04574835,-0.046904155
-0.043266078,-0.060280422,-0.045441561,-0.046693335
-0.043057494,-0.059970306,-0.045139274,-0.04648256
-0.042849346,-0.059660906,-0.044837392,-0.04627183
-0.04264499,-0.059354779,-0.0445356,-0.046062947
-0.042440675,-0.059048745,-0.044236135,-0.045856212
-0.042236403,-0.058742805,-0.043939131,-0.045649519
-0.042032172,-0.058439205,-0.043642215,-0.045442869
-0.041827982,-0.05813713,-0.043345387,-0.045236262
-0.041627668,-0.057835147,-0.043053066,-0.045031345
-0.041427526,-0.057533304,-0.042760906,-0.044828563
-0.041227424,-0.057235068,-0.042468832,-0.044625821
-0.041027362,-0.056936922,-0.042178718,-0.044423121
-0.04082734,-0.056638864,-0.041891198,-0.044220461
-0.040630159,-0.056342189,-0.041603762,-0.044019013
-0.040434014,-0.056047763,-0.041316407,-0.043820015
-0.040237907,-0.055753424,-0.041032634,-0.043621056
-0.040041838,-0.055459172,-0.040749721,-0.043422136
-0.039845808,-0.055167325,-0.040466889,-0.043223256
-0.039651296,-0.054876593,-0.040184775,-0.043024832
-0.03945898,-0.054585945,-0.039906277,-0.042829455
-0.0392667,-0.054295382,-0.039627856,-0.042634118
-0.039074457,-0.054008044,-0.039349513,-0.042438818
-0.038882251,-0.053720893,-0.039073012,-0.042243556
-0.038690082,-0.053433825,-0.038798896,-0.042048333
-0.038501347,-0.053147472,-0.038524855,-0.041855849
-0.038312733,-0.052863713,-0.038250889,-0.041663977
-0.038124154,-0.052580035,-0.037979614,-0.041472142
-0.037935611,-0.052296437,-0.037709769,-0.041280344
-0.037747104,-0.052014118,-0.037439998,-0.041088583
-0.037560111,-0.051733728,-0.037170299,-0.040898228
-0.037375009,-0.051453418,-0.036903882,-0.040709674
-0.03718994,-0.051173186,-0.036638203,-0.040521156
-0.037004906,-0.050894637,-0.036372594,-0.040332673
-0.036819906,-0.050617515,-0.036107055,-0.040144225
-0.036634941,-0.050340471,-0.035845148,-0.039955813
-0.036452602,-0.050063503,-0.035583529,-0.039770315
-0.036270895,-0.049788479,-0.035321978,-0.03958497
-0.036089221,-0.049514527,-0.035060496,-0.03939966
-0.035907581,-0.049240651,-0.034802767,-0.039214384
