2019/1/2,2019/1/3,2019/1/4,2019/1/7
-0.178994551,-0.230168961,-0.209063969,-0.185134658
-0.157868592,-0.204915121,-0.18603014,-0.165366379
-0.147623561,-0.192502944,-0.174589473,-0.15562575
-0.140698403,-0.184040682,-0.166747708,-0.148982772
-0.135411308,-0.177555022,-0.160712675,-0.143888871
-0.131117167,-0.172268267,-0.155776334,-0.139734601
-0.127494396,-0.16778794,-0.151578389,-0.136209917
-0.12434476,-0.163883893,-0.147922425,-0.133140777
-0.121554904,-0.160424147,-0.144668916,-0.130422853
-0.119052213,-0.157311051,-0.141731755,-0.127967207
-0.116777107,-0.154474939,-0.13905859,-0.125735816
-0.114688033,-0.15186803,-0.136593177,-0.123682668
-0.112754159,-0.149452055,-0.134306938,-0.121781849
-0.11095795,-0.147200789,-0.132175158,-0.12001212
-0.109276956,-0.145091492,-0.13017645,-0.118348955
-0.10769241,-0.143104443,-0.128292307,-0.116785081
-0.106200233,-0.141222545,-0.126506707,-0.115303907
-0.104785261,-0.139443808,-0.124812064,-0.113902351
-0.103436602,-0.137745408,-0.123198909,-0.112564279
-0.102153248,-0.136128227,-0.121656548,-0.111286149
-0.100928622,-0.134575091,-0.120179423,-0.110067791
-0.099754208,-0.133092286,-0.118764431,-0.108897841
-0.098626156,-0.131664528,-0.117400838,-0.107772694
-0.097540903,-0.130287771,-0.116085847,-0.10668901
-0.096495151,-0.128960003,-0.114821503,-0.105643694
-0.095485848,-0.127680753,-0.11359832,-0.104633885
-0.094510165,-0.126442303,-0.11241377,-0.103656927
-0.093565488,-0.125242127,-0.111265485,-0.102710367
-0.092649395,-0.124077859,-0.110151248,-0.101791928
-0.091759647,-0.122947279,-0.109068977,-0.100899504
-0.090899894,-0.121848309,-0.108016723,-0.100031146
-0.090063431,-0.120779,-0.106992657,-0.099189698
-0.089248073,-0.119737524,-0.105995064,-0.098370139
-0.088452111,-0.11872217,-0.105022337,-0.097570051
-0.087676316,-0.117731332,-0.104072968,-0.096787946
-0.086923577,-0.116763505,-0.103145542,-0.096023397
-0.086186121,-0.115817708,-0.102238732,-0.095281203
-0.085462654,-0.114895978,-0.101351293,-0.094553377
-0.084760411,-0.113993656,-0.10048528,-0.093838788
-0.084072051,-0.113109537,-0.099637776,-0.093141813
-0.083394463,-0.112242497,-0.098806632,-0.092459948
-0.082736352,-0.11139148,-0.097990849,-0.091788485
-0.082089049,-0.110560477,-0.097189494,-0.09113217
-0.081451824,-0.10974494,-0.096406641,-0.090489145
-0.080832217,-0.108942808,-0.095637719,-0.089854143
-0.080219114,-0.108153245,-0.094880893,-0.089235222
-0.079620685,-0.107382075,-0.094135725,-0.088624949
-0.079031451,-0.106622678,-0.093407864,-0.088023777
-0.078451395,-0.105873712,-0.092690073,-0.087436219
-0.077883949,-0.105139215,-0.091981721,-0.086853502
-0.077321502,-0.104417153,-0.091288152,-0.08628536
-0.076773916,-0.103703675,-0.090604561,-0.085722407
-0.076228507,-0.103003355,-0.08992875,-0.085169956
-0.075698848,-0.10231389,-0.089266926,-0.084625138
-0.075170523,-0.101631414,-0.088613278,-0.084087749
