Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XLC,XLRE,SPY
2019/1/2,50.78,56.78,24.02,64.74,62.02,50.48,52.01,84.65,99.76,41.83,30.29,250.18
2019/1/3,49.34,56.22,23.48,62.77,58.89,50.19,52,82.93,97.6,41.13,30.43,244.21
2019/1/4,51.28,58.13,24.26,65.15,61.5,51.26,52.77,85.4,100.83,42.9,30.74,252.39
2019/1/7,51.46,59,24.29,65.68,62.05,51.19,52.41,85.73,103.11,43.39,31,254.38
2019/1/8,52,59.45,24.31,66.58,62.57,51.66,53.06,86.4,104.25,44.12,31.54,256.77
2019/1/9,52.02,60.39,24.43,67.03,63.38,51.18,52.74,86.79,104.78,44.18,31.41,257.97
2019/1/10,52.48,60.57,24.44,67.94,63.66,51.48,53.43,86.95,104.48,44.27,31.91,258.88
2019/1/11,52.27,60.21,24.5,67.87,63.54,51.63,53.23,87.24,104.58,44.05,31.97,258.98
2019/1/14,51.87,60.06,24.67,67.86,62.95,51.38,52.03,86.28,103.94,43.89,31.87,257.4
2019/1/15,51.53,60.28,24.89,67.65,63.9,51.89,52.67,87.83,104.88,44.62,32.23,260.35
2019/1/16,51.73,60.2,25.42,67.72,63.96,51.61,52.86,87.67,104.64,44.43,32.38,260.98
2019/1/17,52.64,60.75,25.56,68.88,64.37,51.83,53.08,88.44,105.35,44.61,32.54,262.96
2019/1/18,53.51,61.99,26,70.19,65.35,52.45,53.14,89.5,106.81,44.97,32.66,266.46
2019/1/22,52.77,60.64,25.7,68.74,64.25,51.97,53.24,88.88,105.21,44.04,32.6,262.86
2019/1/23,52.41,60.02,25.73,68.84,64.47,52.59,53.78,88.98,105.42,43.84,32.62,263.41
2019/1/24,52.13,60.34,25.79,69.19,65.01,51.94,54.06,88.24,105.86,44.04,32.75,263.55
2019/1/25,53.12,61.1,26,70.07,65.93,51.73,53.32,88.35,107.03,44.6,33.13,265.78
2019/1/28,53.04,60.49,25.92,69.4,65.05,51.95,53.07,87.34,106.41,44.21,33.46,263.76
2019/1/29,53.59,60.68,25.83,70.36,64.35,52.07,53.22,87.77,105.72,43.69,33.72,263.41
2019/1/30,54.16,61.53,25.98,71.46,66.35,52.42,53.63,88.97,107.8,44.32,34,267.58
2019/1/31,53.35,61.93,25.94,71.77,66.28,53.39,54.76,90.08,108.78,46.13,34.33,269.93
2019/2/1,53.51,63.01,26.05,71.88,66.67,53.22,54.55,90.16,107.19,45.97,34.12,270.06
2019/2/4,53.42,63.15,26.16,72.81,67.74,53.56,54.64,89.9,107.89,46.4,34.32,271.96
2019/2/5,53.81,63.25,26.09,73.44,68.31,53.57,54.75,89.78,108.9,46.91,34.55,273.1
2019/2/6,53.49,62.78,26.06,73.46,68.54,53.58,54.72,90.18,108.45,45.86,34.28,272.74
2019/2/7,52.75,61.39,25.8,72.96,67.6,53.54,55.44,89.19,107.56,45.42,34.57,270.14
2019/2/8,52.7,61.11,25.67,73.07,67.99,53.79,55.68,89.36,107.13,45.73,34.57,270.47
