date,S,K,r,q,T,E_IV,put_price
2019/1/2,62.02,47,0.024097,0.017097,30,0.503644,0.08053398
2019/1/2,62.02,48,0.024097,0.017097,30,0.4706445,0.080377545
2019/1/2,62.02,49,0.024097,0.017097,30,0.455775,0.100508394
2019/1/2,62.02,50,0.024097,0.017097,30,0.432289,0.113230691
2019/1/2,62.02,51,0.024097,0.017097,30,0.413777,0.135961588
2019/1/2,62.02,53,0.024097,0.017097,30,0.401257,0.256851604
2019/1/2,62.02,54,0.024097,0.017097,30,0.384186,0.313302854
2019/1/2,62.02,55,0.024097,0.017097,30,0.372078,0.400489793
2019/1/2,62.02,56,0.024097,0.017097,30,0.359386,0.507908483
2019/1/2,62.02,57,0.024097,0.017097,30,0.352129333,0.668235686
2019/1/2,62.02,58,0.024097,0.017097,30,0.336625,0.82457337
2019/1/2,62.02,59,0.024097,0.017097,30,0.324539,1.038531285
2019/1/2,62.02,60,0.024097,0.017097,30,0.312599,1.302956989
2019/1/2,62.02,61,0.024097,0.017097,30,0.300224,1.622803323
2019/1/2,62.02,62,0.024097,0.017097,30,0.287544,2.007646727
2019/1/2,62.02,63,0.024097,0.017097,30,0.263025,2.385576851
2019/1/2,62.02,64,0.024097,0.017097,30,0.250688,2.936937375
2019/1/2,62.02,65,0.024097,0.017097,30,0.239769,3.588287276
2019/1/2,62.02,66,0.024097,0.017097,30,0.228019,4.323919365
2019/1/2,62.02,67,0.024097,0.017097,30,0.22218,5.16276159
2019/1/2,62.02,68,0.024097,0.017097,30,0.221254,6.069838223
2019/1/2,62.02,69,0.024097,0.017097,30,0.215356,7.001094616
2019/1/2,62.02,72,0.024097,0.017097,30,0.230496,9.94333001
2019/1/2,62.02,73,0.024097,0.017097,30,0.248875,10.94143916
2019/1/2,62.02,74,0.024097,0.017097,30,0.266815,11.93953434
2019/1/2,62.02,75,0.024097,0.017097,30,0.2966695,12.94483715
2019/1/2,62.02,76,0.024097,0.017097,30,0.331218,13.95491807
2019/1/2,62.02,85,0.024097,0.017097,30,0.52571175,22.97188787
2019/1/2,62.02,86,0.024097,0.017097,30,0.5426355,23.97061403
2019/1/2,62.02,87,0.024097,0.017097,30,0.55929075,24.96931832
2019/1/2,62.02,95,0.024097,0.017097,30,0.68394375,32.95835684
2019/1/2,62.02,96,0.024097,0.017097,30,0.698566,33.95693012
2019/1/2,62.02,97,0.024097,0.017097,30,0.712996,34.95549321
2019/1/2,62.02,98,0.024097,0.017097,30,0.7272495,35.95405493
2019/1/2,62.02,99,0.024097,0.017097,30,0.7413245,36.95260987
2019/1/2,62.02,100,0.024097,0.017097,30,0.75522475,37.95115749
2019/1/2,62.02,101,0.024097,0.017097,30,0.7689295,38.94967829
2019/1/2,62.02,102,0.024097,0.017097,30,0.782437,39.94816826
2019/1/2,62.02,103,0.024097,0.017097,30,0.795779,40.94664939
2019/1/2,62.02,104,0.024097,0.017097,30,0.80895975,41.94512214
2019/1/2,62.02,105,0.024097,0.017097,30,0.82198375,42.94358724
2019/1/3,58.89,45,0.023993,0.018006,30,0.523016929,0.110503519
2019/1/3,58.89,46,0.023993,0.018006,30,0.496516893,0.122725859
2019/1/3,58.89,47,0.023993,0.018006,30,0.472058,0.139537691
2019/1/3,58.89,48,0.023993,0.018006,30,0.464964179,0.18990574
2019/1/3,58.89,49,0.023993,0.018006,30,0.448575,0.234478152
2019/1/3,58.89,50,0.023993,0.018006,30,0.428039571,0.278891973
2019/1/3,58.89,51,0.023993,0.018006,30,0.415542857,0.356628558
2019/1/3,58.89,52,0.023993,0.018006,30,0.404659964,0.459835716
2019/1/3,58.89,53,0.023993,0.018006,30,0.381783429,0.54057805
2019/1/3,58.89,54,0.023993,0.018006,30,0.372182429,0.700027126
2019/1/3,58.89,55,0.023993,0.018006,30,0.360337857,0.886865736
2019/1/3,58.89,56,0.023993,0.018006,30,0.346951571,1.108242156
